Relatório de linhas por arquivo e por módulo
Gerado em: 2026-01-19T16:00:36.015738
Raiz do repositório: c:\xampp\htdocs\ImproovWeb
Arquivos considerados (ignora .gitignore quando há Git): 645
Total de arquivos: 645  Total de linhas: 189605

Ranking de módulos por linhas:
395. inserir_animacao.php           —       56 linhas  /     1 arquivos
396. CHANGELOG/Flow/imagens/suporte.png —       55 linhas  /     1 arquivos
397. Dashboard/infosImagens.php     —       54 linhas  /     1 arquivos
398. FlowReview/AUTH_README.md      —       54 linhas  /     1 arquivos
399. GANTT/inserir_etapa_coringa.php —       54 linhas  /     1 arquivos
400. review/getImagensPublicas.php  —       54 linhas  /     1 arquivos
401. scripts/test_slack_resolve.php —       53 linhas  /     1 arquivos
402. CHANGELOG/Flow/Flow Review.md  —       52 linhas  /     1 arquivos
403. Dashboard/ver-pdf.php          —       52 linhas  /     1 arquivos
404. Revisao/getMetrics.php         —       52 linhas  /     1 arquivos
405. SOE/tests/index.html           —       52 linhas  /     1 arquivos
406. review/upload_imagem.php       —       52 linhas  /     1 arquivos
407. Arquitetura/buscar_imagens.php —       51 linhas  /     1 arquivos
408. Dashboard/colabGrafico.php     —       51 linhas  /     1 arquivos
409. GANTT/trocar_colaborador.php   —       51 linhas  /     1 arquivos
410. atualizarStatusHold.php        —       51 linhas  /     1 arquivos
411. get_imagens.php                —       51 linhas  /     1 arquivos
